Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,34.25299,22.30735,43.56082,29.35095,18.76647,2,17,0,15,0
2,35.07241,27.05377,35.75131,27.42316,17.19628,0,17,0,15,0
3,45.8642,37.07159,41.34252,26.24709,19.60982,0,16,0,15,0
4,33.27315,27.50897,34.72486,30.3373,20.84496,0,15,0,15,0
All,148.4627,113.9417,155.3795,113.3585,76.41753,2,65,0,60,0
