Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,30.89934,24.24518,34.70657,27.84134,19.49477,0,15,4,14,3
2,39.83218,29.03145,35.06399,25.82356,17.77085,0,16,2,14,1
3,44.63013,38.80602,26.49195,23.42322,19.53266,0,17,11,14,10
4,41.42145,34.26035,37.20084,31.7534,21.40505,1,17,7,12,4
All,156.7831,126.343,133.4633,108.8415,78.20333,1,65,24,54,18
