Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,28.69209,26.23434,28.65819,27.47318,10.94524,0,15,0,15,0
2,32.86562,28.26637,29.96905,25.4053,9.81373,0,15,0,15,0
3,36.29044,30.32402,29.41706,24.82178,15.86997,0,15,0,15,0
4,33.53787,28.97131,33.51409,28.79945,9.320055,0,15,0,15,0
All,131.386,113.7961,121.5584,106.4997,45.94899,0,60,0,60,0
