Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,47.31622,44.06415,29.89001,28.75265,9.422708,0,15,15,12,12
2,44.63156,40.6012,28.16915,26.04444,9.469982,0,16,15,12,12
3,38.28595,33.96939,26.58898,24.40465,17.61509,0,15,15,0,0
4,43.34967,40.04892,31.70091,29.50194,9.065675,0,15,15,8,8
All,173.5834,158.6837,116.3491,108.7037,45.57345,0,61,60,32,32
