Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,37.74612,35.00195,28.53588,28.01771,10.01931,0,16,14,15,14
2,50.11662,46.89314,26.7631,26.00842,12.65659,0,16,15,15,15
3,33.3728,28.28503,28.2613,24.71917,14.41106,0,15,2,15,2
4,32.66353,28.7802,32.26753,29.27281,8.771877,0,15,1,15,1
All,153.8991,138.9603,115.8278,108.0181,45.85884,0,62,32,60,32
