Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,36.21752,31.9998,31.11292,28.28675,12.42455,0,15,15,0,0
2,41.02647,33.28931,32.74825,26.21727,12.41237,1,17,15,0,0
3,35.16156,29.56313,29.8873,24.88748,12.17206,0,15,15,0,0
4,37.7675,30.30142,37.53443,28.90187,9.731719,0,16,15,0,0
All,150.1731,125.1537,131.2829,108.2934,46.7407,1,63,60,0,0
