Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,32.14418,26.11805,34.46961,28.9782,10.19718,0,15,0,15,0
2,40.93808,30.26254,28.76559,25.75177,15.2085,0,19,10,15,10
3,41.82979,34.4852,29.39217,25.30297,13.1066,0,23,12,15,12
4,36.40201,30.77869,35.94081,30.26969,13.06632,0,15,1,15,1
All,151.3141,121.6445,128.5682,110.3026,51.57861,0,72,23,60,23
