Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,35.5393,30.83116,32.45395,28.63684,16.03549,0,15,15,2,2
2,39.47043,33.31627,29.15865,26.36713,15.62343,0,17,15,2,2
3,43.88806,34.85306,34.41232,27.1611,16.93198,0,17,15,12,12
4,38.68491,31.57507,35.57049,30.32557,23.31959,0,17,12,14,11
All,157.5827,130.5756,131.5954,112.4906,71.91048,0,66,57,30,27
