Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,33.35873,28.52107,34.77327,29.03016,12.11936,0,15,15,0,0
2,32.50938,27.83668,32.65351,26.51019,12.598,0,15,15,0,0
3,36.50308,31.83011,28.61523,26.37062,15.8354,0,15,15,0,0
4,35.66916,29.13077,36.7562,29.15565,14.72035,0,15,15,0,0
All,138.0404,117.3186,132.7982,111.0666,55.27311,0,60,60,0,0
