Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,33.35014,24.18813,42.62897,31.0938,10.37777,1,18,0,15,0
2,34.28294,29.27072,34.32275,28.2951,16.10369,0,17,0,15,0
3,32.30603,26.53354,34.17747,29.57203,12.1568,0,16,0,15,0
4,31.19193,26.27412,40.7122,33.8961,15.26071,0,15,0,15,0
All,131.131,106.2665,151.8414,122.857,53.89896,1,66,0,60,0
