Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,27.41377,24.7628,32.19528,30.77447,8.628716,0,15,3,15,3
2,35.42126,32.00674,29.97508,27.39537,12.01448,0,15,15,15,15
3,33.52991,29.7375,30.61986,28.22803,9.222296,0,15,15,15,15
4,29.34679,24.96626,38.07339,33.24234,13.3094,0,15,1,15,1
All,125.7117,111.4733,130.8636,119.6402,43.1749,0,60,34,60,34
