Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,33.17641,30.77771,31.86926,30.53675,8.510386,0,15,15,0,0
2,41.95872,35.68269,32.77593,27.14189,14.97198,0,17,15,0,0
3,37.04317,34.28932,28.90319,27.85632,13.60585,0,15,15,0,0
4,34.09793,31.51321,36.98597,34.98861,12.19393,0,15,15,0,0
All,146.2762,132.2629,130.5343,120.5236,49.28214,0,62,60,0,0
