Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,37.94117,34.8145,30.75654,29.48945,15.08953,0,15,15,0,0
2,35.57549,30.80727,30.10982,25.89181,25.3607,0,16,15,0,0
3,34.94789,28.17207,30.90968,23.91898,19.27931,0,15,15,0,0
4,40.2393,37.65955,34.30801,33.46874,15.07549,0,15,15,0,0
All,148.7038,131.4534,126.084,112.769,74.80503,0,61,60,0,0
