Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,37.47085,33.08106,33.6189,31.02591,11.32109,0,16,10,15,10
2,36.64299,32.0308,29.86964,26.48014,17.79662,0,16,15,11,11
3,35.4193,32.27942,27.04904,25.01823,14.66482,0,15,8,14,7
4,33.55196,30.16983,35.64184,33.71047,15.04698,0,15,6,15,6
All,143.0851,127.5611,126.1794,116.2348,58.82952,0,62,39,55,34
