Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,32.75879,29.54066,30.43556,29.122,8.673003,0,15,0,15,0
2,39.20006,29.85428,33.27397,26.6771,13.64085,0,16,0,15,0
3,31.50406,26.2688,30.47245,25.24965,17.68271,0,15,0,15,0
4,30.7067,27.26385,31.27707,29.31633,11.19209,0,15,0,15,0
All,134.1696,112.9276,125.459,110.3651,51.18866,0,61,0,60,0
