Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,30.78196,28.20267,29.41941,28.24508,9.477489,0,15,0,15,0
2,44.85632,34.88272,31.018,26.98914,11.79139,0,16,0,15,0
3,31.95926,28.21771,29.11193,26.55378,17.14755,0,15,0,15,0
4,31.56677,28.4895,32.37694,30.62997,12.71124,0,15,0,15,0
All,139.1643,119.7926,121.9263,112.418,51.12766,0,61,0,60,0
