Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,46.73775,43.67509,28.69759,27.91841,9.334314,0,15,15,0,0
2,45.05161,41.56088,28.26741,27.44789,10.31888,0,15,15,0,0
3,42.17993,39.41498,27.46115,26.30251,15.23661,0,16,15,0,0
4,45.22668,41.94699,29.93147,28.85444,7.763971,0,15,15,0,0
All,179.196,166.5979,114.3576,110.5233,42.65377,0,61,60,0,0
