Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,35.45724,32.99703,29.48461,28.44572,21.9253,0,15,15,0,0
2,36.67844,34.37972,27.88361,26.92219,11.8812,0,15,15,0,0
3,39.85187,36.28456,25.66789,24.30779,20.03209,0,18,15,0,0
4,35.27728,32.49995,28.41245,27.02145,19.67693,0,15,15,0,0
All,147.2648,136.1613,111.4486,106.6972,73.51553,0,63,60,0,0
