Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,36.44405,31.8233,31.015,28.01425,23.73829,0,16,15,0,0
2,29.60758,26.07153,27.61812,25.57519,21.40009,0,15,15,0,0
3,44.0354,36.85831,29.76012,25.94243,19.70045,0,18,15,0,0
4,40.62431,33.75085,35.82415,28.88453,21.50059,0,17,15,0,0
All,150.7113,128.504,124.2174,108.4164,86.33942,0,66,60,0,0
