Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,25.74858,22.32586,31.6479,28.94361,16.61306,0,15,0,15,0
2,37.5916,27.17567,32.29292,26.78163,12.80604,0,16,0,15,0
3,34.29834,31.57005,29.34594,28.00228,14.15493,0,15,0,15,0
4,31.3689,27.54691,31.12344,28.83579,13.71608,0,15,0,15,0
All,129.0074,108.6185,124.4102,112.5633,57.29011,0,61,0,60,0
