Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,30.10095,25.97768,33.14793,29.54091,10.48813,1,16,0,15,0
2,32.42381,26.2558,32.36543,27.47001,16.00735,0,15,0,15,0
3,27.47495,24.35666,28.7776,26.83324,10.99818,0,15,0,15,0
4,26.75735,23.3407,32.53534,29.97502,11.81522,0,15,0,15,0
All,116.7571,99.93083,126.8263,113.8192,49.30888,1,61,0,60,0
