Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
67.48667,1,1,2.505424,2.267036,1.956918,1.913285,0.7607693,0,1,True,True,True
70.79778,1,2,2.208855,1.99939,2.042176,1.973361,0.9452174,0,1,True,True,True
73.98667,1,3,2.170425,1.932243,2.127135,1.954342,1.123086,0,1,True,True,True
76.99778,1,4,2.141991,2.020622,1.9646,1.939561,0.9293518,0,1,True,False,False
79.84222,1,5,1.770035,1.518349,1.9353,1.892859,1.473729,0,1,True,False,False
84.16444,1,6,3.242867,1.998634,2.242827,2.000502,1.445799,0,2,True,True,True
87.54222,1,7,2.320175,1.953598,2.248075,1.943415,0.5220932,0,1,True,True,True
90.16444,1,8,1.859917,1.651787,1.960888,1.901176,1.054287,0,1,True,False,False
93.07556,1,9,2.001457,1.607948,2.412268,1.92246,0.5118141,0,1,True,False,False
95.84222,1,10,1.997879,1.743835,2.179634,1.899745,0.5385019,0,1,True,True,True
98.50889,1,11,1.816719,1.463173,2.158363,1.876027,1.671398,0,1,True,False,False
101.3089,1,12,2.014221,1.744118,2.18108,1.900739,0.9154436,0,1,True,True,True
103.7867,1,13,1.643028,1.597313,1.938397,1.920781,0.6350975,0,1,True,True,True
106.4533,1,14,1.829971,1.720238,1.98392,1.939857,0.2600446,0,1,True,True,True
109.4311,1,15,1.970161,1.675888,2.231179,1.905132,0.8604281,0,1,True,True,True
124.3533,2,1,2.228676,2.066963,1.881977,1.84576,0.5880448,0,1,True,True,True
127.7311,2,2,2.332497,1.909836,2.227505,1.831245,0.3380067,0,1,True,True,True
130.7756,2,3,2.327728,1.82074,2.617914,1.830898,2.467999,0,1,True,True,True
133.6756,2,4,2.335175,2.22261,1.775697,1.749594,1.927934,0,1,True,False,False
136.8533,2,5,2.13942,1.764587,1.980673,1.733476,1.843121,0,1,True,False,False
143.2089,2,6,5.590729,3.171936,5.156943,1.885418,1.6928,0,2,True,True,True
146.22,2,7,2.066422,1.898956,1.941146,1.875377,0.9819043,0,1,True,True,True
149.0867,2,8,2.017761,1.908417,1.896509,1.872293,0.8584073,0,1,True,True,True
152.3756,2,9,2.403625,1.844269,2.670298,1.815099,2.268522,0,1,True,True,True
155.1089,2,10,2.242294,1.764267,2.596406,1.788153,2.63378,0,1,True,True,True
157.6867,2,11,2.140778,2.089462,1.916345,1.910141,0.8314725,0,1,True,True,True
160.5311,2,12,1.901764,1.674988,2.031201,1.883168,1.070385,0,1,True,True,True
163.2756,2,13,1.964905,1.709305,2.098655,1.912588,1.225476,0,1,True,True,True
166.0089,2,14,1.951691,1.676956,2.177048,1.905611,1.300786,0,1,True,True,True
168.4756,2,15,1.791382,1.618546,1.845138,1.803172,1.905809,0,1,True,True,True
183.2311,3,1,2.31897,1.652985,2.886561,1.851684,1.784471,0,1,True,True,True
185.4644,3,2,1.715103,1.485687,1.904482,1.788,0.150338,0,1,True,True,True
188.1978,3,3,1.822052,1.416962,2.2743,1.828328,1.541057,0,1,False,True,False
190.2978,3,4,1.388123,1.385239,1.869929,1.869929,1.491163,0,1,False,True,False
193.1533,3,5,1.752533,1.329071,2.363688,1.793372,0.6397845,0,1,False,True,False
195.2867,3,6,1.561554,1.272964,2.150896,1.783183,1.577089,0,1,False,True,False
197.7089,3,7,1.706146,1.261993,2.533229,1.838985,2.034793,0,1,False,True,False
199.6422,3,8,1.372025,1.273697,1.815296,1.783497,1.151448,0,1,False,True,False
201.8311,3,9,1.282181,1.26152,1.792691,1.789699,1.387856,0,1,False,True,False
204.3422,3,10,1.502853,1.240082,2.001224,1.775647,1.153218,0,1,False,True,False
206.4089,3,11,1.334625,1.21759,1.932288,1.853099,0.9085137,0,1,False,True,False
208.5978,3,12,1.268692,1.18425,1.867382,1.839706,3.121234,0,1,False,True,False
211.1422,3,13,1.67955,1.150558,2.657619,1.803342,0.6277273,0,1,False,True,False
213.5422,3,14,1.899979,1.182938,3.077513,1.784688,1.203179,0,1,False,True,False
215.4311,3,15,1.600571,1.183807,2.28744,1.757442,1.517543,0,1,False,True,False
224.0978,4,1,1.803818,1.464157,2.255905,2.028283,2.368767,0,1,False,True,False
226.6978,4,2,1.701096,1.508148,2.17509,2.028006,0.7343498,0,1,False,True,False
229.52,4,3,1.89859,1.507706,2.776053,2.036382,0.5536187,0,1,False,True,False
231.9756,4,4,1.773743,1.429611,2.482077,1.990006,0.7763723,0,1,False,True,False
234.5089,4,5,1.7939,1.340729,2.775866,1.997219,1.58195,0,1,False,True,False
236.82,4,6,1.680405,1.418915,2.304858,1.974861,0.5800378,0,1,False,True,False
239.2645,4,7,1.645538,1.384735,2.346385,2.015777,0.8995311,0,1,False,True,False
241.6756,4,8,1.588501,1.387085,2.112235,1.9802,0.503029,0,1,False,True,False
244.22,4,9,1.641541,1.284302,2.392688,1.966506,1.368533,0,1,False,True,False
246.2756,4,10,1.273575,1.251358,1.991096,1.989779,1.431036,0,1,False,True,False
248.82,4,11,1.450394,1.228958,2.093786,1.955542,1.244182,0,1,False,True,False
251.1978,4,12,1.459229,1.295883,2.093665,1.99794,0.3894834,0,1,False,True,False
253.8533,4,13,1.657074,1.250793,2.679616,1.989384,0.05191183,0,1,False,True,False
256.12,4,14,1.54361,1.317383,2.270413,1.986506,0.489646,0,1,False,True,False
258.7089,4,15,1.665375,1.321686,2.535648,1.996782,0.6553591,0,1,False,True,False
