Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,31.49313,26.89417,31.56276,28.88324,13.64706,0,16,15,10,10
2,35.43484,29.14184,34.81345,27.64199,21.93445,0,16,15,13,13
3,24.20496,19.49934,33.41454,27.1406,20.28942,0,15,2,15,2
4,24.57639,20.39145,35.28538,29.93317,13.62781,0,15,0,15,0
All,115.7093,95.9268,135.0761,113.599,69.49873,0,62,32,53,25
