Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
78.29778,1,1,2.007248,1.685394,1.974876,1.856133,0,1,True,True,True
81.10889,1,2,1.948677,1.518997,1.900112,1.823207,0,2,True,False,False
84.14223,1,3,1.932739,1.463486,2.660192,1.873216,0,1,True,True,True
86.44222,1,4,1.741806,1.53019,1.970838,1.87159,0,1,True,True,True
88.97556,1,5,1.862633,1.44101,2.418822,1.933235,0,1,True,True,True
91.63111,1,6,2.139221,1.832954,2.180665,1.923365,0,1,True,True,True
94.04222,1,7,1.779617,1.597527,1.913731,1.898518,0,1,True,False,False
96.84222,1,8,1.743019,1.351837,2.20276,1.924106,0,1,True,True,True
99.16444,1,9,1.674072,1.429337,2.004396,1.886523,0,1,True,True,True
101.8422,1,10,2.017822,1.541695,2.665168,1.872242,0,1,True,True,True
104.02,1,11,1.749489,1.329834,2.284308,1.892507,0,1,True,False,False
106.3311,1,12,1.759682,1.363029,2.504121,1.89851,0,1,True,True,True
108.5533,1,13,1.73642,1.440773,2.132315,1.887108,0,1,True,True,True
111.7645,1,14,2.613014,1.787521,2.326053,2.093273,0,2,True,False,False
114.52,1,15,1.995865,1.452362,2.297426,1.947328,0,1,True,False,False
130.6867,2,1,2.487808,2.178207,2.019557,1.814583,0,1,True,False,False
133.3311,2,2,2.049286,1.853943,1.905951,1.820059,0,1,True,False,False
136.3644,2,3,2.379272,1.842957,2.759751,1.85457,0,1,True,False,False
138.6978,2,4,1.98761,1.820648,1.81308,1.755479,0,1,True,False,False
142.3089,2,5,2.984695,1.809006,2.220306,1.87968,0,2,True,False,False
144.9311,2,6,1.865005,1.641998,1.974587,1.86515,0,1,True,False,False
147.5756,2,7,1.973557,1.239456,3.095796,1.685345,0,1,True,False,False
149.9756,2,8,2.161621,1.39566,3.171335,1.68634,0,1,True,False,False
152.02,2,9,1.760315,1.496765,2.132626,1.827991,0,1,True,True,True
154.1533,2,10,1.615021,1.474411,1.97957,1.837781,0,1,True,True,True
156.3533,2,11,1.647766,1.507477,1.92521,1.836268,0,1,True,True,True
158.6978,2,12,1.724365,1.607544,1.986933,1.939012,0,1,True,True,True
162.6756,2,13,3.033539,1.675522,4.511083,2.000315,0,2,True,True,True
165.32,2,14,1.969131,1.496689,2.696972,1.700714,0,1,True,True,True
167.22,2,15,1.556808,1.373383,1.925628,1.84219,0,1,True,True,True
173.9089,3,1,2.289993,1.943192,1.980249,1.749549,0,1,True,False,False
177.2089,3,2,2.619064,1.97644,2.720898,1.622292,0,1,True,False,False
179.6089,3,3,2.093277,1.542038,2.590427,1.655344,0,1,True,False,False
181.42,3,4,1.446655,1.251205,1.69798,1.606591,0,1,True,False,False
184.2422,3,5,2.247482,1.228943,3.084911,1.757868,0,1,True,False,False
186.9422,3,6,2.299316,1.864883,2.182161,1.722786,0,1,True,True,True
189.9867,3,7,2.585358,2.021637,2.686939,1.789774,0,1,True,False,False
192.5645,3,8,2.236618,1.798248,2.43393,1.744283,0,1,True,False,False
194.9756,3,9,1.933426,1.632095,1.9958,1.745403,0,1,True,False,False
197.9089,3,10,2.319885,2.201447,1.833776,1.806735,0,1,True,True,True
200.4978,3,11,1.859421,1.5634,2.162417,1.810748,0,1,True,True,True
203.1311,3,12,2.146729,1.563614,2.630922,1.738419,0,1,True,False,False
206.42,3,13,2.923065,2.044052,2.086893,1.895966,0,2,True,False,False
209.2978,3,14,2.214874,1.586075,2.695348,1.692436,0,1,True,False,False
211.52,3,15,1.868042,1.531006,1.862983,1.602121,0,1,True,False,False
221.9089,4,1,4.510239,2.111694,5.131368,2.361058,1,2,True,False,False
224.3089,4,2,1.738525,1.474609,1.976212,1.844139,0,1,True,False,False
227.3533,4,3,2.191574,1.23996,3.299335,1.784237,0,1,True,False,False
229.5422,4,4,1.788986,1.687103,1.888608,1.867953,0,1,True,False,False
232.6978,4,5,2.152008,1.686478,2.690532,1.847935,0,1,True,False,False
235.2089,4,6,1.937668,1.596802,2.379555,1.938215,0,1,True,False,False
238.1311,4,7,2.234451,1.61911,3.21838,1.890758,0,1,True,False,False
240.4756,4,8,1.954544,1.664215,2.414343,1.915277,0,1,True,False,False
242.92,4,9,1.751236,1.608353,1.967882,1.874779,0,1,True,False,False
245.52,4,10,1.782364,1.50827,2.25114,1.884611,0,1,True,False,False
248.2645,4,11,2.081329,1.51918,3.194373,1.955021,0,1,True,False,False
250.5422,4,12,1.912201,1.485626,2.769288,1.917946,0,1,True,False,False
252.8311,4,13,1.743851,1.474472,2.276032,1.925856,0,1,True,False,False
255.9311,4,14,2.31955,1.86528,2.528458,2.022435,0,1,True,False,False
259.7756,4,15,2.265778,1.955353,2.334016,2.05965,0,1,True,False,False
