Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,28.95719,22.58406,37.74225,28.38134,0,15,15,13,13
2,27.17914,22.90999,33.56135,27.19305,0,15,15,14,14
3,28.64987,23.91437,32.4538,27.39817,0,15,15,0,0
4,30.50468,23.76028,41.57663,28.91816,0,16,15,0,0
All,115.2909,93.1687,145.334,111.8907,0,61,1140,503,27
