Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,31.0479,27.0555,30.43807,29.30446,10.39957,0,18,15,13,13
2,32.05736,28.56374,29.41885,26.72832,10.81939,0,16,15,10,10
3,37.8398,29.2149,33.34301,26.84068,15.2182,0,18,15,11,11
4,33.59352,25.51437,43.81477,37.10352,16.78484,1,17,11,15,11
All,134.5386,110.3485,137.0147,119.977,53.222,1,69,56,49,45
