Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,26.97087,21.69279,38.05235,28.14518,0,15,15,0,0
2,34.82069,29.83833,40.74626,29.2906,1,17,15,0,0
3,28.83437,22.77344,36.11074,27.50911,0,15,15,0,0
4,31.04594,22.77502,40.92242,29.50426,0,16,15,0,0
All,121.6719,97.07959,155.8318,114.4492,1,63,60,0,0
