Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,28.70132,22.76595,33.43578,28.58086,0,17,15,10,10
2,31.1958,24.41367,36.11839,27.34548,0,17,15,7,7
3,33.08321,25.74828,34.64563,25.94032,0,16,15,3,3
4,32.3643,24.49651,40.31952,29.08987,1,16,15,0,0
All,125.3446,97.42439,144.5193,110.9565,1,66,60,20,20
