Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,42.38235,39.1092,28.89236,27.89492,16.44513,0,16,15,0,0
2,43.37027,40.39507,28.32288,27.01432,18.68387,0,16,15,0,0
3,38.59702,36.32617,26.96504,26.40928,17.39321,0,15,15,0,0
4,39.6459,36.11072,29.38983,28.30707,16.84656,0,15,15,0,0
All,163.9955,151.9412,113.5701,109.6256,69.36877,0,62,60,0,0
