Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,40.51181,37.61019,29.93521,28.01055,10.04099,0,15,15,0,0
2,30.35538,27.81246,28.88606,26.93096,11.16382,0,15,15,0,0
3,35.46808,31.14716,31.36309,26.21656,10.10145,0,15,15,0,0
4,33.46107,30.66406,31.05921,28.99921,7.735026,0,15,15,0,0
All,139.7963,127.2339,121.2436,110.1573,39.04128,0,60,60,0,0
