Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,35.19342,32.31893,30.13606,28.32551,9.948038,0,15,7,15,7
2,32.05035,28.87981,28.57533,26.92988,13.05124,0,15,4,15,4
3,27.6825,23.39153,29.86258,25.27811,7.830128,0,15,0,15,0
4,30.99654,27.45029,31.22499,28.34546,9.633764,0,15,1,15,1
All,125.9228,112.0405,119.799,108.879,40.46317,0,60,12,60,12
