Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,24.63374,22.14133,29.76808,27.42559,13.95493,0,15,0,15,0
2,28.42671,23.22379,33.50634,26.7571,13.2092,0,15,0,15,0
3,25.24068,22.37848,28.83918,26.16479,10.53183,0,15,0,15,0
4,25.28523,22.28896,31.14244,27.94164,9.862841,0,15,0,15,0
All,103.5864,90.03255,123.256,108.2891,47.5588,0,60,0,60,0
