Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,38.99039,34.37135,34.80048,31.25764,10.82121,0,15,0,15,0
2,54.16995,51.37646,34.54173,29.46614,9.648332,1,16,15,2,2
3,34.51642,31.73795,28.79471,27.94993,10.83781,0,15,1,14,0
4,34.76212,31.26001,32.70094,31.2968,11.58609,0,15,0,15,0
All,162.4389,148.7458,130.8379,119.9705,42.89344,1,61,16,46,2
