Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,35.86509,32.26165,30.11806,28.75293,10.35814,0,15,8,15,8
2,33.56404,31.02838,29.52287,27.7665,17.77712,0,15,15,10,10
3,54.5304,42.67339,31.23066,28.45476,18.46928,0,20,15,8,8
4,29.0914,25.35614,33.69876,30.33241,12.87935,0,16,2,15,2
All,153.0509,131.3195,124.5704,115.3066,59.48389,0,66,40,48,28
