Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,38.97942,35.69236,29.78553,27.66049,6.563537,0,15,0,15,0
2,47.30122,37.43567,35.02755,26.5698,13.19851,0,15,0,15,0
3,43.87482,37.69574,30.50562,26.36773,9.053492,0,15,0,15,0
4,37.51855,33.34488,30.56244,28.13443,6.114051,0,15,0,15,0
All,167.674,144.1686,125.8811,108.7325,34.92958,0,60,0,60,0
