Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,49.63227,42.52909,34.32955,29.3681,10.80174,0,17,9,15,9
2,45.52492,41.4032,29.30383,27.88612,13.43717,0,15,13,15,13
3,45.03137,38.92227,28.84151,26.41141,10.76118,0,18,13,15,13
4,35.60391,30.53781,32.99174,28.67023,7.140222,0,15,4,15,4
All,175.7925,153.3924,125.4666,112.3359,42.14031,0,65,39,60,39
