Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,28.77785,25.44629,32.67933,28.76891,15.16483,0,15,4,12,1
2,32.79953,26.23732,36.83394,27.44774,17.01476,0,15,2,13,0
3,30.50529,23.34113,36.73026,27.41869,24.55402,0,15,0,15,0
4,26.39944,21.56354,35.238,29.53801,24.30579,0,15,0,15,0
All,118.4821,96.58827,141.4815,113.1734,81.03939,0,60,6,55,1
