Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,77.81427,74.87385,31.28831,31.0672,9.239545,0,17,14,15,14
2,99.46465,100.5874,42.88176,39.70766,12.51029,1,16,15,15,15
3,71.62106,62.48944,35.4954,31.7178,13.5644,1,21,12,15,12
4,62.66672,56.46188,35.65802,34.24216,11.05715,0,21,10,15,10
All,311.5667,294.4126,145.3235,136.7348,46.3714,2,75,51,60,51
