Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
65.66444,1,1,1.736252,1.576698,1.8867,1.813172,1.396874,0,1,False,True,False
70.70889,1,2,4.087662,2.356308,4.775372,1.932252,0.7926056,0,2,True,True,True
73.86445,1,3,2.025429,1.283691,3.203024,1.886618,0.5845462,0,1,False,True,False
76.20889,1,4,1.836159,1.519112,2.080967,1.837002,2.308263,0,1,False,True,False
78.75333,1,5,1.732094,1.496284,2.014536,1.850003,0.9147609,0,1,False,True,False
81.94222,1,6,2.285645,1.350594,3.300777,1.794087,1.44714,0,1,False,True,False
84.46445,1,7,2.083183,1.429451,2.920128,1.791235,1.453133,0,1,False,True,False
86.87556,1,8,1.992577,1.38636,2.622815,1.773523,0.6025784,0,1,False,True,False
89.35333,1,9,1.866898,1.419594,2.347597,1.778704,1.37563,0,1,False,True,False
91.93111,1,10,1.797684,1.352036,2.309905,1.775402,1.068465,0,1,False,True,False
94.70889,1,11,2.117859,1.440308,2.959177,1.818432,0.3762151,0,1,False,True,False
97.09778,1,12,1.982864,1.453041,2.497104,1.788923,3.206039,0,1,False,True,False
100.3756,1,13,2.143501,1.630821,1.88714,1.818952,0.416482,0,1,False,True,False
104.4644,1,14,2.163773,1.460266,3.085966,1.834927,0.5367714,0,1,False,True,False
106.8422,1,15,1.963982,1.429733,2.65981,1.780553,0.7257839,0,1,False,True,False
124.1311,2,1,2.551315,2.043701,2.184021,1.839915,3.064205,0,1,True,True,True
127.0978,2,2,2.29081,1.96608,2.077986,1.846508,1.404683,0,1,True,False,False
129.7422,2,3,1.940819,1.68615,1.887994,1.755724,1.067998,0,1,True,False,False
133.4756,2,4,2.893143,1.876389,3.37471,1.768477,0.8027483,0,1,True,True,True
139.2756,2,5,5.487885,2.525116,5.275237,1.826718,1.690983,0,2,True,True,True
142.4867,2,6,2.140976,1.731293,2.075407,1.800174,0.5036772,0,1,True,False,False
145.5089,2,7,2.28093,1.965515,1.964144,1.84929,1.433756,0,1,True,False,False
148.2867,2,8,1.988083,1.744492,1.870088,1.785056,0.443345,0,1,True,False,False
151.0089,2,9,1.884186,1.676132,1.825716,1.761099,2.077649,0,1,True,False,False
154.3089,2,10,2.190994,1.753601,2.252944,1.76238,0.5155791,0,1,True,False,False
157.2867,2,11,2.37529,1.752869,2.794498,1.749318,1.479258,0,1,True,False,False
160.3644,2,12,2.639084,2.289841,1.926698,1.800544,1.986032,0,1,True,True,True
163.6533,2,13,2.499054,1.866287,2.632114,1.822042,0.3102585,0,1,True,False,False
166.3089,2,14,2.060303,1.8992,1.831552,1.800211,0.1372823,0,1,True,False,False
169.8756,2,15,2.409836,1.709122,2.935047,1.757606,0.7364858,0,1,True,False,False
182.2089,3,1,2.802628,1.965347,2.787178,1.809227,2.465371,0,1,True,False,False
185.3867,3,2,2.573822,2.29007,1.915787,1.804127,1.234438,0,1,True,False,False
191.6756,3,3,5.455643,2.490692,3.689082,1.891122,0.3696852,0,2,True,False,False
195.0867,3,4,2.422241,1.743317,2.630678,1.685306,1.55442,0,1,True,False,False
198.0311,3,5,2.47348,2.368256,1.85623,1.846366,0.8450099,0,1,True,True,True
201.7533,3,6,2.720993,1.740707,3.374161,1.8523,1.023821,0,1,True,False,False
204.3867,3,7,2.215958,1.678619,2.435764,1.728921,0.5134062,0,1,True,False,False
206.6311,3,8,1.634262,1.496033,1.804054,1.771098,2.290228,0,1,True,False,False
209.92,3,9,2.15123,2.064133,1.871093,1.863058,1.000536,0,1,True,False,False
213.2089,3,10,2.102524,1.653229,2.002525,1.678808,1.698369,0,1,True,False,False
215.6311,3,11,1.675644,1.618896,1.711967,1.70591,0.8544311,0,1,False,True,False
218.4978,3,12,1.873062,1.485306,2.125109,1.762219,1.939695,0,1,False,True,False
221.0533,3,13,1.937836,1.485992,2.321469,1.888611,1.708241,0,1,False,True,False
223.6978,3,14,2.024185,1.619263,2.236884,1.721655,1.384596,0,1,False,True,False
226.4644,3,15,1.875076,1.573517,2.199618,1.923592,0.854678,0,1,False,True,False
233.1756,4,1,2.107132,1.619446,2.811972,1.973877,1.475731,0,1,True,False,False
235.22,4,2,1.458527,1.227097,2.075538,1.927712,0.8186993,0,1,False,True,False
237.7422,4,3,1.736771,1.340988,2.371121,1.919768,0.9305327,0,1,False,True,False
240.2422,4,4,1.801743,1.307571,2.666137,1.892718,1.221551,0,1,False,True,False
242.8533,4,5,1.999588,1.309952,3.027898,1.882278,0.8578662,0,1,False,True,False
245.2645,4,6,1.941818,1.317627,2.979607,1.90071,1.039141,0,1,False,True,False
247.5978,4,7,1.863358,1.307129,2.81269,1.895174,1.564582,0,1,False,True,False
249.92,4,8,1.759888,1.372696,2.254293,1.944766,1.380412,0,1,False,True,False
252.5089,4,9,1.769379,1.474243,2.173894,1.949776,1.069332,0,1,False,True,False
255.2089,4,10,1.822495,1.409042,2.529424,1.955866,1.854578,0,1,False,True,False
258.0422,4,11,2.075043,1.40683,2.973428,1.97804,1.024094,0,1,False,True,False
260.4533,4,12,1.839203,1.46521,2.397831,2.047554,1.639557,0,1,False,True,False
263.1867,4,13,1.969299,1.45163,2.823286,2.072231,0.6912895,0,1,False,True,False
265.6311,4,14,1.766785,1.432831,2.263253,1.885283,0.823078,0,1,False,True,False
268.6978,4,15,2.252563,1.394958,3.33735,1.978003,0.7269343,0,1,False,True,False
