Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,31.76489,28.19262,31.5906,30.01846,13.09155,0,15,15,0,0
2,27.74004,23.27819,31.52296,26.71133,14.81958,0,16,15,0,0
3,33.77327,29.34073,30.41468,27.06608,14.34484,0,15,15,0,0
4,35.74643,28.42409,37.95216,30.56921,17.60304,0,17,15,0,0
All,129.0246,109.2356,131.4804,114.3651,59.859,0,63,60,0,0
