Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
61.78667,1,1,1.924713,1.663067,2.110087,1.908883,1.705309,0,1,False,True,False
64.86445,1,2,1.753948,1.697559,1.916011,1.901576,0.649686,0,1,False,True,False
68.27556,1,3,2.026001,1.831917,2.160021,1.993898,1.205866,0,1,False,True,False
71.23111,1,4,1.8535,1.764748,1.959286,1.931268,0.555419,0,1,False,True,False
74.35333,1,5,1.860268,1.664703,2.023002,1.915386,0.980571,0,1,False,True,False
77.34222,1,6,1.85524,1.677345,2.011894,1.869153,0.3797121,0,1,False,True,False
80.23111,1,7,1.694466,1.59713,1.953253,1.918994,0.5251461,0,1,False,True,False
83.79778,1,8,2.391197,1.686897,3.091808,1.948463,1.242199,0,1,False,True,False
86.34222,1,9,1.862984,1.641647,2.096175,1.91684,0.5680889,0,1,False,True,False
89.52,1,10,2.014206,1.777313,2.168107,1.910092,0.7792329,0,1,False,True,False
92.76445,1,11,2.13932,1.627838,2.719872,1.90751,0.5323853,0,1,False,True,False
95.43111,1,12,1.803406,1.663818,1.96028,1.900602,1.176424,0,1,False,True,False
98.45334,1,13,1.843376,1.629921,2.147585,1.95621,0.5835425,0,1,False,True,False
102.3644,1,14,2.794472,1.797455,3.363995,1.967692,0.4239126,0,1,False,True,False
105.2867,1,15,2.232445,1.954605,2.185074,1.965013,1.133123,0,1,False,True,False
120.9756,2,1,2.168213,2.020599,2.051098,1.986841,1.501847,0,1,False,True,False
125.8422,2,2,3.472839,2.479416,3.737186,2.022565,1.411674,0,1,False,True,False
129.2645,2,3,2.337418,1.753372,3.188588,1.900278,1.123494,0,1,False,True,False
132.7089,2,4,2.369675,1.849716,2.854145,1.935188,1.33411,0,1,False,True,False
136.0422,2,5,2.165894,1.952332,1.97225,1.873591,0.6366534,0,1,False,True,False
140.82,2,6,2.332581,1.754272,3.027736,1.820925,0.2508744,0,1,False,True,False
145.0756,2,7,2.152863,1.932861,2.010325,1.899243,0.5903028,0,1,False,True,False
148.7089,2,8,1.977417,1.844391,1.96304,1.925723,2.685112,0,1,False,True,False
152.52,2,9,1.90184,1.76532,1.976786,1.952142,0.7816985,0,1,False,True,False
156.3867,2,10,2.372192,1.921295,2.835343,2.015191,0.9921893,0,1,False,True,False
159.0978,2,11,1.788208,1.609863,2.005625,1.903507,0.9703053,0,1,False,True,False
162.7089,2,12,2.193359,2.121475,1.967027,1.952505,0.6819082,0,1,False,True,False
169.6422,2,13,5.362808,2.43399,6.216653,2.067158,1.249127,0,2,False,True,False
173.3978,2,14,2.325836,1.975189,2.177078,1.951034,1.474588,0,1,False,True,False
177.4867,2,15,2.728561,2.233795,2.72472,1.963166,0.3254779,0,1,False,True,False
190.6533,3,1,2.391205,1.753159,2.8583,1.894085,0.9311658,0,1,False,True,False
193.4867,3,2,2.35466,1.719666,2.827585,1.904693,1.476319,0,1,False,True,False
196.4756,3,3,2.328888,1.843536,2.769604,1.97637,0.3181414,0,1,False,True,False
199.9644,3,4,2.37558,1.741791,2.878962,1.844341,0.9438369,0,1,False,True,False
203.4867,3,5,2.01181,1.664948,2.372711,1.906309,1.091303,0,1,False,True,False
206.7756,3,6,2.003113,1.840195,1.977787,1.842641,1.231582,0,1,False,True,False
211.3533,3,7,2.047897,1.598572,2.490411,1.806474,1.481165,0,1,False,True,False
214.4533,3,8,1.808304,1.609741,1.925477,1.783681,1.447857,0,1,False,True,False
218.1978,3,9,2.18988,1.618881,2.716303,1.809967,0.9556865,0,1,False,True,False
223.5645,3,10,1.825745,1.718384,1.88176,1.818905,0.975339,0,1,False,True,False
227.1089,3,11,2.097977,1.709351,2.412855,1.865718,1.27831,0,1,False,True,False
230.5756,3,12,2.213577,1.776306,2.531043,1.911805,1.99545,0,1,False,True,False
233.7311,3,13,1.884079,1.775711,2.020662,1.978441,2.144203,0,1,False,True,False
237.2978,3,14,2.21196,1.753952,2.507697,1.807464,0.80451,0,1,False,True,False
240.2311,3,15,1.839478,1.519531,2.187145,1.742648,1.449816,0,1,False,True,False
251.22,4,1,2.661026,2.443604,2.332044,2.288948,0.5991192,0,1,False,True,False
254.9756,4,2,2.163773,1.955307,2.17836,2.123143,0.2572186,0,1,False,True,False
259.82,4,3,2.640076,2.2341,2.505586,1.971357,1.430056,0,1,False,True,False
263.8422,4,4,2.651123,2.177765,2.669652,2.08513,0.5963975,0,1,False,True,False
267.6756,4,5,2.352112,2.201324,2.141878,2.055752,0.2408188,0,1,False,True,False
271.9978,4,6,2.742218,2.468964,2.363514,1.999042,0.146688,0,1,False,True,False
275.92,4,7,2.36319,2.075897,2.315401,1.991062,0.8100826,0,1,False,True,False
279.4644,4,8,2.13382,2.051178,2.066977,2.044894,0.7022179,0,1,False,True,False
283.4311,4,9,2.247345,1.990173,2.333611,2.034214,0.6999803,0,1,False,True,False
286.9311,4,10,2.117065,1.922546,2.170138,2.013325,0.8077428,0,1,False,True,False
290.6089,4,11,2.251709,1.953247,2.449812,1.996195,0.2358626,0,1,False,True,False
294.1756,4,12,2.111542,1.977844,2.025835,1.948946,0.5467293,0,1,False,True,False
297.8422,4,13,2.001343,1.876129,2.072583,2.020721,0.4877463,0,1,False,True,False
301.6089,4,14,2.373871,2.044861,2.450147,2.011348,0.6366752,0,1,False,True,False
304.7978,4,15,1.976166,1.90863,1.969733,1.955818,0.4500213,0,1,False,True,False
