Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,34.42517,29.74824,33.79676,29.57701,12.22448,0,16,15,0,0
2,34.65141,32.47636,31.72474,29.35223,16.45736,0,15,15,0,0
3,36.13898,31.0666,33.3413,27.35066,15.52049,0,16,15,0,0
4,39.70276,33.50781,39.73305,33.13164,17.90154,0,15,15,0,0
All,144.9183,126.799,138.5959,119.4115,62.10387,0,62,60,0,0
