Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,39.42711,27.78337,39.25827,29.07634,17.56572,0,16,1,15,1
2,52.02112,43.57976,47.39978,32.8187,19.07949,1,17,15,3,3
3,43.93033,35.14685,37.47749,27.43316,21.29414,0,17,13,4,2
4,32.75369,28.78275,35.61438,31.64364,15.40786,0,15,0,15,0
All,168.1322,135.2927,159.7499,120.9718,73.34721,1,65,29,37,6
