Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,22.31919,17.67037,34.29811,27.4429,16.63408,0,15,0,15,0
2,30.44887,25.95972,29.10265,25.98868,12.08225,0,16,0,15,0
3,32.26122,26.95223,31.47765,26.89829,18.31499,0,17,0,15,0
4,24.40128,20.11604,33.24532,28.2528,14.33541,0,15,0,15,0
All,109.4305,90.69836,128.1237,108.5827,61.36673,0,63,0,60,0
