Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,54.62416,51.09798,32.24002,30.92313,9.065602,0,18,15,5,5
2,46.93282,43.81516,28.45994,27.4326,6.998531,0,16,15,7,7
3,44.6561,42.2478,32.14035,31.86055,10.73489,0,15,15,6,6
4,50.97293,45.29633,33.44621,30.64985,8.855868,0,16,13,7,5
All,197.186,182.4573,126.2865,120.8661,35.65489,0,65,58,25,23
