Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
69.20889,1,1,3.973701,3.810364,2.173706,2.098309,0.2579353,0,1,True,True,True
77.67556,1,2,7.513687,6.779106,2.960026,2.504438,0.953449,0,2,True,True,True
83.82,1,3,4.756363,4.367996,2.27328,2.225818,0.619233,0,3,True,True,True
88.27556,1,4,3.313515,3.016396,2.036368,1.976111,0.9004386,0,1,True,False,False
92.95334,1,5,3.545792,3.305992,2.118801,2.039078,0.5234997,0,1,True,False,False
96.70889,1,6,2.732704,2.670654,1.981284,1.977773,0.5801265,0,1,True,False,False
100.7756,1,7,2.823509,2.793724,1.984483,1.981504,0.3282829,0,1,True,False,False
108.4756,1,8,5.183388,5.125847,2.276569,2.264791,0.5047467,0,1,True,True,True
111.8867,1,9,2.260338,2.100189,2.068744,1.992943,0.6142229,0,1,True,False,False
115.2089,1,10,2.366203,2.122879,2.037973,1.938374,0.7998484,0,1,True,False,False
118.3867,1,11,2.249596,2.144768,1.928275,1.908773,0.3872036,0,1,True,False,False
122.3311,1,12,2.853622,2.546547,2.029863,1.913454,0.2518262,0,1,True,False,False
126.8867,1,13,3.444427,3.25148,2.045811,2.017846,0.6584643,0,1,True,False,False
132.5422,1,14,4.363129,3.979874,2.177522,2.024481,0.5731431,0,1,True,False,False
137.1089,1,15,3.244186,3.082169,2.14731,2.059435,1.113182,0,1,True,True,True
151.7533,2,1,4.88179,4.591446,2.029693,1.989524,0.03042808,0,2,True,True,True
155.6422,2,2,2.614441,2.614044,1.792834,1.792834,0.656987,0,1,True,True,True
160.0089,2,3,3.140427,2.759644,1.988718,1.789979,0.2736442,0,1,True,False,False
163.8311,2,4,2.862701,2.569122,1.974702,1.790522,0.5247445,0,1,True,False,False
167.7422,2,5,3.131393,2.982635,1.837497,1.801462,0.8976302,0,1,True,False,False
171.3533,2,6,2.675842,2.534515,1.743821,1.726101,1.033196,0,1,True,True,True
175.3867,2,7,2.857208,2.480621,1.927706,1.745542,0.3092434,0,1,True,True,True
179.0756,2,8,2.938431,2.636414,2.008501,1.948898,0.553863,0,1,True,True,True
183.4311,2,9,3.148697,2.847397,1.881811,1.792688,0.6763442,0,1,True,True,True
187.7311,2,10,3.127045,2.87178,1.888219,1.838624,0.38303,0,1,True,True,True
192.2756,2,11,3.437622,3.340408,1.871621,1.853231,0.3344288,0,1,True,False,False
197.3645,2,12,3.980591,3.720032,2.041336,1.92442,0.1846795,0,1,True,False,False
201.0756,2,13,2.675827,2.591919,1.839241,1.831869,0.009615461,0,1,True,False,False
204.6089,2,14,2.534195,2.502609,1.809513,1.807611,0.7118392,0,1,True,False,False
208.6978,2,15,2.926605,2.772568,1.82473,1.799298,0.4188582,0,1,True,False,False
225.42,3,1,3.580795,3.360031,1.785248,1.768573,1.035557,0,1,True,True,True
229.8978,3,2,2.787384,2.59082,2.061692,2.054224,1.79073,0,1,True,True,True
234.2978,3,3,3.142502,2.690079,2.299231,2.24958,0.5214113,0,1,True,True,True
238.2867,3,4,2.87709,2.792038,2.160476,2.153448,0.4442571,0,1,True,False,False
242.8422,3,5,3.277557,3.173645,2.267159,2.258251,0.2350495,0,1,True,False,False
246.72,3,6,2.887863,2.725464,2.302329,2.269831,1.237574,0,1,True,False,False
251.3089,3,7,3.075577,2.993011,2.193277,2.187801,0.4740523,0,1,True,True,True
255.32,3,8,2.796494,2.723801,2.147228,2.143025,0.5074458,0,1,True,False,False
259.4756,3,9,2.641937,2.468597,1.988264,1.953668,0.9651899,0,1,True,False,False
264.8422,3,10,4.24411,4.122375,2.023523,1.997359,1.225378,0,1,True,True,True
269.0978,3,11,3.058197,2.947144,2.19377,2.17957,0.7748801,0,1,True,True,True
272.8533,3,12,2.637726,2.479675,2.273942,2.258175,0.3323088,0,1,True,False,False
276.4978,3,13,2.551666,2.423737,2.07674,2.066546,0.1622906,0,1,True,False,False
280.6311,3,14,3.075165,2.858643,2.288562,2.251937,0.3912812,0,1,True,False,False
283.5978,3,15,2.022034,1.898743,2.078911,2.068564,0.6374822,0,1,True,False,False
291.0867,4,1,2.200165,1.94223,2.02429,1.976297,1.243734,0,1,False,True,False
296.4533,4,2,4.195648,2.860992,3.862639,1.973446,1.803596,0,1,True,True,True
302.4644,4,3,4.006958,3.887848,2.187412,2.177826,0.3572789,0,1,True,True,True
310.7422,4,4,6.453583,4.658356,2.673149,2.323262,0.4293207,0,2,True,True,True
315.8644,4,5,2.762299,2.535156,2.115724,2.050775,0.502148,0,1,False,True,False
320.1311,4,6,2.941193,2.580688,2.221131,2.089961,0.3624175,0,1,True,True,True
323.9311,4,7,2.474548,2.34726,2.070983,2.061159,0.540419,0,1,True,True,True
328.42,4,8,3.165161,3.004364,2.072638,2.062532,0.4457769,0,1,True,False,False
332.3533,4,9,2.496826,2.356445,2.055927,2.0429,0.4582778,0,1,True,False,False
336.6978,4,10,3.121796,2.83728,2.104882,1.983508,0.1588944,0,1,True,False,False
340.6422,4,11,2.832458,2.781494,1.961539,1.958596,0.6631965,0,1,True,False,False
346.6534,4,12,3.56012,3.328522,2.019189,1.995577,0.4829301,0,1,True,False,False
354.02,4,13,6.112305,5.908875,2.149044,2.115567,0.1239495,0,1,True,False,False
358.8867,4,14,2.411835,2.234009,1.956031,1.897275,0.3858666,0,1,True,False,False
362.0422,4,15,2.238037,2.032806,1.971628,1.941176,0.8980609,0,1,True,False,False
