Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,45.20919,42.06455,31.92838,29.9692,7.648633,0,15,15,0,0
2,43.96042,39.07788,32.20706,29.36765,10.07557,1,16,15,0,0
3,44.50116,42.44202,31.13632,30.06634,9.451007,0,15,15,0,0
4,50.99506,47.87646,31.55118,30.3282,8.448045,0,15,15,0,0
All,184.6658,171.4609,126.823,119.7314,35.62326,1,61,60,0,0
