Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,76.49345,73.97932,33.32467,33.15281,14.34758,0,15,15,0,0
2,62.36839,59.60707,27.82648,27.57692,10.38452,0,15,15,0,0
3,64.65295,63.20648,26.7525,26.66476,9.588572,0,15,15,0,0
4,75.27264,72.77118,32.66702,32.21102,8.706739,0,15,15,0,0
All,278.7874,269.5641,120.5707,119.6055,43.02741,0,60,60,0,0
