Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,75.29851,72.65837,32.00474,31.55924,9.685793,0,15,15,14,14
2,73.14368,69.36459,30.07586,28.41538,10.68525,0,15,15,15,15
3,66.64514,63.80637,28.79658,27.78771,9.090122,0,15,15,10,10
4,59.6571,55.96014,31.5265,29.95204,11.12896,0,15,15,9,9
All,274.7444,261.7895,122.4037,117.7144,40.59012,0,60,60,48,48
