Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,50.47073,47.49282,30.38254,29.47175,6.450686,0,15,0,15,0
2,53.162,46.28418,31.49657,28.39284,9.711003,1,16,0,15,0
3,47.36035,44.77357,27.9325,27.0492,8.296184,0,15,0,15,0
4,52.68997,46.90567,33.37382,30.68435,10.86553,0,15,0,15,0
All,203.6831,185.4562,123.1854,115.5981,35.32341,1,61,0,60,0
