Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,34.68793,32.7401,30.43407,29.57298,14.56611,0,15,15,0,0
2,40.23703,38.33585,29.77848,28.75187,14.63897,0,15,15,0,0
3,41.80493,40.0054,27.67482,27.00869,9.131764,0,15,15,0,0
4,40.82678,37.23685,32.31524,29.31927,16.64775,0,15,15,0,0
All,157.5567,148.3182,120.2026,114.6528,54.98458,0,60,60,0,0
