Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
58.66444,1,1,3.207893,3.060665,2.042937,2.001199,0.5992966,0,1,True,True,True
62.89778,1,2,2.93927,2.937244,1.971929,1.971929,0.8928956,0,1,True,True,True
67.10889,1,3,2.636986,2.601357,1.987599,1.984062,1.2903,0,1,True,False,False
71.55334,1,4,2.927292,2.580391,2.31524,1.980767,1.97462,0,1,True,True,True
75.48667,1,5,2.929077,2.491219,2.430287,1.942856,1.382451,0,1,True,True,True
79.09778,1,6,2.686653,2.558578,2.062901,1.995068,1.4721,0,1,True,True,True
83.28667,1,7,2.964134,2.523064,2.630516,2.00584,0.3987532,0,1,True,True,True
86.96445,1,8,2.800797,2.692039,2.053812,2.019939,1.447152,0,1,True,True,True
90.55334,1,9,2.41301,2.256386,2.110529,2.016095,0.5813768,0,1,True,True,True
94.50889,1,10,2.849808,2.635689,2.132955,1.996166,0.3196689,0,1,True,True,True
98.28667,1,11,2.714745,2.353004,2.3828,2.042505,0.2203271,0,1,True,True,True
101.92,1,12,2.676064,2.379143,2.215603,1.993262,0.6437382,0,1,True,True,True
105.2089,1,13,2.313332,2.1679,2.065504,1.978549,0.7222655,0,1,True,True,True
108.8089,1,14,2.539299,2.28949,2.160384,1.94722,0.5222021,0,1,True,True,True
112.6978,1,15,3.021988,2.569359,2.403178,1.93191,1.083336,0,1,True,True,True
133.7311,2,1,5.197296,3.953094,2.623688,2.201121,0.4368225,0,2,True,True,True
138.8978,2,2,3.775223,3.676712,1.982311,1.958759,0.8379465,0,1,True,True,True
143.4867,2,3,3.35968,3.097992,2.04757,1.874415,1.710247,0,1,True,True,True
147.1311,2,4,2.736893,2.658539,2.092475,2.081255,0.8391675,0,1,True,False,False
150.8978,2,5,2.560562,2.523529,1.979895,1.977304,0.9994328,0,1,True,False,False
155.2645,2,6,3.017868,2.859512,2.010897,1.933485,0.9376864,0,1,True,False,False
158.6867,2,7,2.295792,2.266739,1.876176,1.87473,1.063066,0,1,True,False,False
162.62,2,8,2.719604,2.612778,1.930976,1.888805,0.4481245,0,1,True,False,False
166.0533,2,9,2.346313,2.246078,1.889304,1.861034,0.6625866,0,1,True,False,False
169.72,2,10,2.348709,2.245178,1.925254,1.914007,1.526395,0,1,True,False,False
174.1089,2,11,3.286865,3.128784,2.101745,1.999778,1.385704,0,1,True,False,False
180.4422,2,12,3.027573,2.890793,1.978437,1.945074,1.45879,0,1,True,False,False
190.4867,2,13,2.986633,2.6577,2.106712,1.876562,0.2328386,0,1,True,False,False
194.6533,2,14,2.898102,2.592194,2.148363,1.889425,0.6793019,0,1,True,False,False
198.4978,2,15,2.6642,2.433777,2.094725,1.931426,0.5048311,0,1,True,False,False
210.1422,3,1,2.902939,2.703171,2.084435,1.940236,1.383864,0,1,True,False,False
214.3978,3,2,3.103943,2.971359,1.853203,1.826414,0.1709076,0,1,True,True,True
218.9089,3,3,3.157318,2.736465,2.291121,1.913187,2.045057,0,1,True,False,False
222.7978,3,4,2.556061,2.356674,1.927722,1.827593,0.5536924,0,1,True,False,False
226.4422,3,5,2.526321,2.222977,1.919636,1.681836,0.5914285,0,1,True,False,False
230.6311,3,6,3.127777,3.02536,1.839831,1.810519,1.084139,0,1,True,False,False
234.8533,3,7,2.660248,2.579987,1.832743,1.811041,1.400453,0,1,True,False,False
239.2645,3,8,2.945099,2.833252,1.982811,1.940258,0.1276139,0,1,True,False,False
243.6644,3,9,2.870239,2.726517,2.022477,1.977616,0.8399653,0,1,True,False,False
247.7533,3,10,2.535721,2.402786,1.885805,1.847767,0.4984318,0,1,True,False,False
251.82,3,11,2.680908,2.512115,2.073795,2.031548,0.6183414,0,1,True,False,False
255.9422,3,12,2.749878,2.580505,1.995693,1.937392,1.967736,0,1,True,False,False
260.7089,3,13,3.437561,3.216278,1.841643,1.737797,1.52454,0,1,True,False,False
264.8644,3,14,2.925171,2.657867,1.99127,1.784589,0.2918893,0,1,True,False,False
269.0756,3,15,3.025757,2.872894,1.881194,1.785191,0.5042965,0,1,True,True,True
276.4533,4,1,3.130646,2.837067,2.373122,2.168085,1.065752,0,1,True,True,True
280.42,4,2,2.930634,2.579834,2.490505,2.154274,0.4298263,0,1,True,True,True
283.9867,4,3,2.633331,2.413025,2.153457,2.057919,1.058528,0,1,True,True,True
287.5533,4,4,2.568787,2.247345,2.347772,2.05593,1.277119,0,1,True,True,True
290.6422,4,5,2.272583,1.976776,2.285384,2.031796,0.7745777,0,1,True,True,True
294.5645,4,6,3.0672,2.556793,2.513241,1.97146,1.019722,0,1,True,True,True
298.3755,4,7,3.013672,2.736511,2.188303,2.02552,1.189584,0,1,True,True,True
302.5311,4,8,3.036163,2.82547,2.148218,2.040775,0.427259,0,1,True,True,True
306.62,4,9,2.992126,2.635773,2.295529,2.044507,1.221018,0,1,True,False,False
310.4533,4,10,2.883423,2.681366,2.17042,2.027924,0.6329908,0,1,True,False,False
314.5422,4,11,2.749329,2.457458,2.213849,1.935951,1.012307,0,1,True,False,False
318.3978,4,12,2.806671,2.379425,2.499275,1.928579,0.3023087,0,1,True,False,False
321.9311,4,13,2.587067,2.389862,2.040309,1.93542,1.061354,0,1,True,False,False
325.4756,4,14,2.343445,2.287689,1.9497,1.946675,1.019569,0,1,True,False,False
329.2978,4,15,2.626038,2.457977,2.043663,1.934115,0.7683935,0,1,True,False,False
