Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,34.55376,32.67714,27.59437,27.19737,10.02919,0,15,0,15,0
2,43.88645,35.94576,30.22214,26.88018,10.34428,0,15,0,15,0
3,37.32123,33.24716,27.84899,26.7268,9.252147,0,15,0,15,0
4,33.05624,30.37227,29.784,28.81996,9.620203,0,15,0,15,0
All,148.8177,132.2423,115.4495,109.6243,39.24582,0,60,0,60,0
