Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,45.65303,41.99244,29.61956,27.94593,5.602741,0,15,0,15,0
2,43.24872,39.30095,27.66211,26.41598,8.011709,0,15,0,15,0
3,39.71635,36.65462,25.96648,24.91781,8.150647,0,15,0,15,0
4,43.32574,40.1441,31.74289,30.10699,4.448019,0,15,0,15,0
All,171.9438,158.0921,114.991,109.3867,26.21312,0,60,0,60,0
