Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,43.71898,41.03204,30.81986,30.1208,11.9025,0,17,13,14,12
2,45.41977,40.83722,29.63089,27.88618,10.41877,0,16,11,15,11
3,37.50888,32.77481,28.4512,25.59411,12.82241,0,15,8,15,8
4,45.95981,41.30463,31.69088,29.94943,17.0836,0,16,10,15,10
All,172.6074,155.9487,120.5928,113.5505,52.22728,0,64,42,59,41
