Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,42.79269,40.86043,29.88495,29.68248,10.70383,0,15,14,6,5
2,39.54585,37.09698,28.35379,27.25945,15.91712,0,15,15,8,8
3,38.41547,35.51648,26.8798,25.86199,13.19652,0,15,10,14,9
4,39.28311,35.37796,30.9788,28.66275,15.11655,0,15,9,14,8
All,160.0371,148.8519,116.0973,111.4667,54.93401,0,60,48,42,30
