Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,30.12915,20.02785,44.03305,28.43727,20.72713,0,16,0,15,0
2,57.2113,34.59998,66.12497,31.54008,22.8014,3,23,0,15,0
3,62.88138,28.87767,74.58572,31.6314,22.67949,4,27,0,15,0
4,37.19002,20.67133,57.49404,33.84044,23.51472,3,18,0,15,0
All,187.4118,104.1768,242.2378,125.4492,89.72274,10,84,0,60,0
