Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,35.36044,24.18063,46.83827,29.38762,24.03999,0,17,3,15,3
2,47.98926,36.39151,52.1051,29.07425,18.3556,2,17,14,1,0
3,48.21892,29.04321,50.16733,25.94708,23.06455,0,22,7,10,2
4,38.19897,23.70099,50.38791,29.82287,28.85825,0,18,9,11,5
All,169.7676,113.3163,199.4986,114.2318,94.31839,2,74,33,37,10
