Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,25.53317,17.80179,41.21256,28.04019,15.87424,0,15,0,15,0
2,32.9726,20.7419,46.53596,27.06853,17.38599,0,16,0,15,0
3,35.28198,19.69757,49.03394,27.21197,22.54993,0,17,0,15,0
4,24.78784,17.67419,42.70242,30.23496,21.53261,0,15,2,15,2
All,118.5756,75.91545,179.4849,112.5557,77.34277,0,63,2,60,2
