Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,36.51645,33.50661,31.34281,29.62148,14.4853,0,15,15,0,0
2,36.47851,33.67144,28.74461,26.10859,16.61666,0,15,15,0,0
3,34.57964,32.28764,25.33779,24.1906,12.90567,0,15,15,0,0
4,31.84052,28.9552,33.08336,30.41576,16.80518,0,15,15,0,0
All,139.4151,128.4209,118.5086,110.3364,60.81282,0,60,60,0,0
