Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,26.68463,23.0638,31.84118,28.40293,17.06092,0,15,15,0,0
2,32.8053,26.69409,31.04908,27.55685,12.83418,0,16,15,0,0
3,31.97368,27.39771,29.74298,26.39874,13.8233,0,15,15,0,0
4,28.01675,22.61308,34.77409,29.02827,15.94021,0,15,15,0,0
All,119.4804,99.76868,127.4073,111.3868,59.65862,0,61,60,0,0
