Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,23.05824,19.04683,32.20772,28.01452,17.14168,0,15,1,15,1
2,27.57098,22.26649,29.41693,26.54769,13.5781,0,15,0,15,0
3,28.49048,20.86818,38.56559,28.48871,20.75488,0,15,0,15,0
4,21.6776,18.32338,31.41921,28.37453,14.65346,0,15,0,15,0
All,100.7973,80.50488,131.6095,111.4255,66.12811,0,60,1,60,1
