Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,30.75831,27.78824,30.31929,28.90569,12.46686,0,15,4,12,1
2,29.07597,24.74149,29.57169,26.70724,17.76779,0,15,0,15,0
3,37.35548,27.14793,35.26799,27.40205,20.55945,0,17,1,15,1
4,24.90154,20.05798,34.96143,29.73121,15.43866,0,15,0,15,0
All,122.0913,99.73565,130.1204,112.7462,66.23275,0,62,5,57,2
