Task,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grips,Firm Grips,Objects with Varied Grip
1,51.58383,48.63709,30.80277,29.44514,8.435031,0,15,15,0,0
2,44.82503,43.09544,26.83182,26.41885,7.918712,0,15,15,0,0
3,45.5733,42.9651,28.50156,27.5598,12.27532,0,15,15,0,0
4,51.65253,48.27312,31.42463,30.22876,7.191583,0,15,15,0,0
All,193.6347,182.9707,117.5608,113.6526,35.82064,0,60,60,0,0
